product ID,Product Title,Merchant ID, Category Label,_Product Code,Number_of_Views,Merchant Rating, Listing Date  
64,apple iphone 7 32gb silver unlocked brand new,25,Mobile Phones,AQ-1403-FI,161.0,2.4,12/21/2023
65,iphone 7 32gb black,20,Mobile Phones,TJ-7820-AO,4297.0,2.1,12/4/2022
66,apple iphone 7,21,Mobile Phones,ZJ-6767-YF,1981.0,3.2,5/28/2024
67,iphone 7 32gb black mn8x2b/a wc01,26,Mobile Phones,AD-1652-ST,995.0,1.6,12/12/2024
68,startech.com usb c to hdmi multi monitor adapter 3 port mst hub usb type c to hdmi monitor splitter usb 3.1 type c black,17,Mobile Phones,EP-7189-CA,4911.0,,3/2/2024
69,startech.com usb c to hdmi multi monitor adapter 3 port mst hub usb type c to hdmi monitor splitter usb 3.1 type c black,3,Mobile Phones,IR-9370-RQ,3342.0,1.3,8/5/2022
70,grade b apple iphone 8 64gb gold handset only,5,Mobile Phones,CU-8619-UJ,4551.0,4.9,2/3/2024
71,grade b apple iphone 8 64gb gold handset only,6,Mobile Phones,LJ-5388-CY,3798.0,4.1,7/7/2022
72,apple iphone 8 64gb space grey,1,Mobile Phones,QV-7479-HV,1275.0,1.8,1/15/2023
73,apple iphone 8 smartphone 64gb 4.7 zoll spacegrau,28,Mobile Phones,NM-4728-VC,1016.0,1.0,5/8/2023
74,apple iphone 8 64 gb silber,2,Mobile Phones,WG-4630-WE,337.0,4.3,11/30/2024
75,apple iphone 8 64gb schwarz smartphone,13,Mobile Phones,FU-3872-AY,878.0,3.8,1/15/2022
76,apple iphone 8 space grey 4.7 64gb 4g unlocked sim free,15,Mobile Phones,CS-4766-MU,1076.0,3.9,3/6/2022
77,apple iphone 8 64 gb space grey,7,Mobile Phones,CF-6354-NL,4887.0,4.1,6/5/2023
78,apple iphone 8 64gb gold,9,Mobile Phones,TI-7221-FD,3993.0,1.3,10/10/2023
79,apple iphone 8 64gb gold,4,Mobile Phones,NT-1247-ZN,4859.0,2.4,12/22/2024
80,apple iphone 8 64gb space grey,8,Mobile Phones,HC-1210-NH,379.0,1.5,8/16/2023
81,apple iphone 8 64gb space grey,10,Mobile Phones,ZO-6184-WO,492.0,4.5,1/27/2023
82,apple iphone 8 4.7 single sim 4g 64gb silver,11,Mobile Phones,ML-1094-VK,2062.0,3.5,2/23/2023
83,apple iphone 8 4.7 single sim 4g 64gb grey,14,Mobile Phones,BQ-0153-ZD,3884.0,2.3,10/16/2022
84,apple iphone 8 64 gb spaceship grey,16,Mobile Phones,TP-7254-LW,64.0,1.3,1/14/2023
85,apple iphone 8 4.7 inch multi touch retina hd display 64gb wlan wwa,18,Mobile Phones,ZH-6679-FF,2568.0,2.2,8/19/2022
86,iphone 8 64gb space grey,20,Mobile Phones,RE-1004-PH,2027.0,2.3,10/14/2024
87,apple iphone 8,21,Mobile Phones,GS-7469-UQ,2695.0,3.9,2/10/2022
88,sim free iphone 8 64gb mobile phone space grey,22,Mobile Phones,RY-4569-VB,1495.0,3.6,11/17/2024
89,apple mq6g2b/a 4.7 iphone 8 64gb space grey in stock uk spec stock,23,Mobile Phones,EH-7521-RS,391.0,4.5,5/15/2022
90,apple iphone x 64gb space grey,1,Mobile Phones,YN-4004-IG,4514.0,2.9,7/20/2022
91,apple mqac2b/a iphone x 64gb 4.8 12mp sim free smartphone in space grey,3,Mobile Phones,CZ-8599-RH,4474.0,1.5,2/19/2024
92,apple iphone x 64 gb spacegrau,2,Mobile Phones,BT-4691-PQ,3561.0,3.9,7/18/2024
93,apple iphone x 14.7 cm 5.8 64 gb single sim 4g grey,14,Mobile Phones,MC-3368-IS,2278.0,4.0,11/22/2024
94,apple iphone x 64gb grau smartphone,13,Mobile Phones,HY-8543-IZ,3099.0,3.2,12/7/2024
95,apple iphone x 64 gb silver,16,Mobile Phones,KN-9654-EJ,200.0,4.1,5/18/2023
96,apple iphone x space grey 5.8 64gb 4g unlocked sim free,5,Mobile Phones,TQ-7259-LS,4875.0,3.0,2/11/2023
97,apple iphone x space grey 5.8 64gb 4g unlocked sim free,6,Mobile Phones,DZ-6215-OC,3104.0,3.1,3/15/2024
98,iphone x 64gb silver,4,Mobile Phones,ZX-4184-SN,4598.0,2.7,4/9/2022
99,apple iphone x 64 gb silver,7,Mobile Phones,HV-9253-XN,2454.0,1.1,11/15/2023
100,apple iphone x 64gb space grey,8,Mobile Phones,WW-2749-NV,3645.0,1.4,12/27/2023
101,apple iphone x 64gb silver,10,Mobile Phones,HH-5941-OI,804.0,1.1,8/18/2024
102,iphone x 64gb space grey,24,Mobile Phones,OO-4316-OG,2731.0,3.5,9/5/2023
103,apple iphone x 5.8 single sim 4g 64gb silver,11,Mobile Phones,UB-7783-RV,2773.0,2.3,10/5/2023
104,apple iphone x silver 5.8 64gb 4g unlocked sim free,15,Mobile Phones,ZM-0558-WL,1570.0,3.0,10/25/2024
105,apple iphone iphone x 14.7 cm 5.8 64 gb 12 mp ios 11 silver,18,Mobile Phones,NL-7461-MZ,2690.0,4.6,5/18/2023
106,apple iphone x 64gb silver solo unlocked,17,Mobile Phones,IS-6888-JI,3840.0,2.0,2/6/2024
107,sim free iphone x 64gb mobile phone silver,22,Mobile Phones,ST-8006-XZ,1028.0,2.6,2/2/2023
108,apple iphone x smartphone 4g lte advanced 64 gb gsm 5.8 2436 x 1125 pixels 458 ppi super retina hd 12 mp 7 mp front camera space grey mqac2b/a c2000,26,Mobile Phones,TL-0684-SX,502.0,4.0,5/20/2024
109,apple iphone x,21,Mobile Phones,BU-2315-OU,4493.0,1.9,3/5/2024
110,apple mqad2b/a 5.8 iphone x 64gb silver in stock uk spec stock,23,Mobile Phones,EC-8629-DL,870.0,1.3,1/28/2023
111,grade a samsung galaxy s8 pink 5.8 64gb 4g unlocked sim free,5,Mobile Phones,GG-0896-EL,4488.0,2.2,7/26/2022
112,samsung galaxy s8 sm g950f 64gb sim free smartphone midnight black,3,Mobile Phones,IP-6428-FK,206.0,1.6,11/4/2024
113,samsung galaxy s8 g950f 64gb lte midnight black,2,Mobile Phones,MG-5592-ZR,1484.0,4.7,6/10/2024
114,samsung galaxy s8 sm g950f 14.7 cm 5.8 4 gb 64 gb 4g black 3000 mah,11,Mobile Phones,HO-6706-MX,863.0,4.2,5/13/2024
115,samsung galaxy s8 64gb midnight black,24,Mobile Phones,HU-6366-RS,2790.0,3.5,1/13/2024
116,samsung galaxy s8 artic silver 5.8 64gb 4g unlocked sim free,6,Mobile Phones,RV-6963-LP,563.0,4.5,7/18/2023
117,samsung galaxy s8 midnight black 5.8 64gb 4g unlocked sim free,15,Mobile Phones,TC-2711-OZ,4191.0,4.2,10/17/2024
118,samsung galaxy s8 g9500 4gb ram 64gb rom dual sim orchid gray,29,Mobile Phones,NX-8284-UT,1757.0,1.7,4/6/2022
119,samsung galaxy s8 64gb eu smartphone,30,Mobile Phones,IC-9198-SZ,1678.0,4.6,4/30/2023
120,samsung galaxy s8 single sim 64gb android uk version sim free smartphone midnight black with samsung original level box slim wireless portable bluetooth speaker,17,Mobile Phones,ZU-3705-LR,3242.0,3.2,8/19/2022
121,samsung galaxy s8 midnight black,8,Mobile Phones,RP-8912-AW,4636.0,4.2,1/19/2024
122,5.8 infinity display dual camera octa core 4gb ram 64gb 3000,4,Mobile Phones,OX-2089-HK,1059.0,4.6,6/25/2023
123,samsung galaxy s8 64 gb orchid grey,7,Mobile Phones,DY-3408-DL,1722.0,2.3,11/25/2024
124,samsung mobile galaxy s8 series mobile phone in black,31,Mobile Phones,RT-9471-KC,3314.0,1.4,6/9/2023
125,samsung galaxy s8 sm g950f 14.7 cm 5.8 4 gb 64 gb single sim 4g,14,Mobile Phones,MK-9034-YW,3157.0,1.9,8/1/2023
126,samsung sm g950fzkabtu galaxy s8 64gb in midnight black,32,Mobile Phones,CR-5933-ED,2625.0,2.7,11/13/2023
127,samsung 64gb black galaxy s8 sm g950fzkabtu,33,Mobile Phones,WL-6650-UG,2729.0,4.3,7/11/2023
128,sim free galaxy s8 64gb by samsung black,12,Mobile Phones,DO-0722-WI,1597.0,4.4,10/9/2024
129,samsung galaxy s8 sm g950f 14.7 cm 5.8 64 gb 12 mp android 7,18,Mobile Phones,DX-0811-GE,3060.0,1.0,10/8/2023
130,samsung galaxy s8,21,Mobile Phones,RA-0723-EB,2693.0,3.0,3/6/2024
131,sim free samsung galaxy s8 64gb mobile phone black,22,Mobile Phones,TN-7475-CN,4891.0,2.7,11/17/2024
132,apple mqaf2b/a iphone x 256gb 4.8 12mp sim free smartphone in space grey,3,Mobile Phones,YB-7854-ZB,3627.0,1.9,7/9/2022
133,apple iphone x 256 gb spacegrau,2,Mobile Phones,MK-6490-CP,1363.0,1.5,9/25/2023
134,apple iphone x 256gb silver,1,Mobile Phones,BH-6539-NL,1981.0,2.4,9/20/2023
135,apple iphone x 256 gb spaceship grey,16,Mobile Phones,PC-7867-SF,1663.0,4.8,8/30/2024
136,iphone x 256gb space grey,4,Mobile Phones,LF-3440-LR,1529.0,2.3,12/11/2023
137,apple iphone x silver 5.8 256gb 4g unlocked sim free,5,Mobile Phones,JD-9080-CT,2038.0,3.1,10/11/2023
138,apple iphone x silver 5.8 256gb 4g unlocked sim free,6,Mobile Phones,VO-5531-JR,3302.0,3.8,11/14/2022
139,apple iphone x 256 gb silver,7,Mobile Phones,TW-7963-PF,2237.0,2.5,11/15/2023
140,apple iphone x 256gb silver solo unlocked,17,Mobile Phones,RF-1837-OU,1306.0,4.9,10/26/2023
141,apple iphone x silver 5.8 256gb 4g unlocked sim free,15,Mobile Phones,VZ-8660-YV,4029.0,4.8,3/18/2023
142,apple iphone x 256gb silver,8,Mobile Phones,GE-7330-WO,2675.0,2.0,7/18/2023
143,apple iphone x 256gb silver,10,Mobile Phones,KD-6072-KI,1282.0,3.0,8/9/2024
144,apple iphone x 256gb grau smartphone,13,Mobile Phones,JS-7500-EQ,709.0,2.2,11/30/2023
145,apple iphone x 5.8 single sim 4g 256gb silver,11,Mobile Phones,RH-6442-TC,4744.0,2.1,4/23/2022
146,sim free iphone x 256gb by apple space grey,12,Mobile Phones,LH-6460-KP,4413.0,1.1,1/2/2022
147,iphone x 256gb space grey,24,Mobile Phones,AH-2123-AT,3748.0,3.4,10/4/2023
148,apple iphone x 5.8 single sim 4g 256gb silver,14,Mobile Phones,EJ-7588-BW,4779.0,3.0,8/8/2022
149,apple iphone iphone x 14.7 cm 5.8 256 gb 12 mp ios 11 silver,18,Mobile Phones,BA-9855-SK,663.0,1.2,5/4/2024
150,sim free iphone x 256gb mobile phone space grey,22,Mobile Phones,CA-3868-XC,1998.0,2.1,1/20/2023
151,apple iphone x 256gb space grey mqaf2b/a ad01,26,Mobile Phones,VG-5533-II,3445.0,4.6,12/12/2024
152,apple mqag2b/a 5.8 iphone x 256gb silver in stock uk spec stock,23,Mobile Phones,EN-1593-SV,3743.0,2.0,12/31/2023
153,apple iphone 7 4.7 inch multi touch 128gb wlan wwan bluetooth camera fingerprint sensor ios10 rose gold,3,Mobile Phones,VG-1167-RE,1495.0,1.6,9/4/2022
154,apple iphone 7 128gb black,1,Mobile Phones,UM-7749-OQ,3304.0,3.0,4/15/2024
155,apple iphone 7 rose gold 4.7 128gb 4g unlocked sim free,5,Mobile Phones,QW-6104-HH,3763.0,4.9,7/22/2022
156,apple iphone 7 128gb gold smartphone,13,Mobile Phones,BN-3408-BW,1853.0,2.0,5/3/2022
157,apple iphone 7 128gb rose gold,4,Mobile Phones,WP-5457-XL,4659.0,3.7,2/5/2023
158,apple iphone 7 rose gold 4.7 128gb 4g unlocked sim free,6,Mobile Phones,VQ-3410-CX,1291.0,4.0,2/6/2024
159,apple iphone 7 128gb silver,9,Mobile Phones,IS-5124-LN,3581.0,2.0,10/21/2022
160,apple iphone 7 128gb black unlocked,8,Mobile Phones,EJ-2435-UQ,3457.0,3.9,10/7/2022
161,apple iphone 7 128gb black unlocked,10,Mobile Phones,BC-6276-XW,1636.0,2.5,6/2/2024
162,apple iphone 7 128gb silver,15,Mobile Phones,IP-1396-KP,3696.0,3.5,7/17/2022
163,apple iphone 7 4.7 single sim 4g 2gb 128gb 1960mah gold,11,,YI-3786-VT,2999.0,3.5,9/8/2024
164,iphone 7 128gb black,24,Mobile Phones,RN-6433-EF,3152.0,3.1,1/22/2024
165,apple iphone 7 4.7 single sim 4g 2gb 128gb 1960mah pink gold,14,Mobile Phone,YM-2108-CU,698.0,1.4,5/24/2022
166,apple iphone 7 128 gb diamant schwarz,2,Mobile Phones,VW-0371-JE,2160.0,4.3,9/1/2023
167,apple iphone 7 128gb italia nero opaco,17,Mobile Phones,VU-8144-RG,4097.0,2.3,7/6/2022
168,apple sim free iphone 7 water dust resistant 128gb silver,19,Mobile Phones,LH-7453-VM,4737.0,1.7,4/9/2023
169,11.938 cm 4.7 1334 x 750 retina hd a10 m10 128gb touch id,18,Mobile Phones,VJ-9942-JN,854.0,1.2,10/22/2023
170,iphone 7 128gb silver,20,Mobile Phones,ZV-8126-WO,3474.0,3.4,2/3/2024
171,sim free iphone 7 128gb mobile phone jet black,22,Mobile Phones,CV-8272-XD,1707.0,3.7,8/12/2024
172,iphone 7 128gb silver mn932b/a wc01,26,Mobile Phones,LY-2430-BN,2777.0,1.1,2/7/2023
173,,1,Mobile Phones,GZ-3098-QU,1733.0,3.0,5/27/2022
174,apple iphone 8 plus 256 gb silber,2,Mobile Phones,DH-8617-LA,4931.0,1.9,5/13/2024
175,apple iphone 8 plus 256gb space grey,4,Mobile Phones,CG-8575-CH,3510.0,3.6,5/4/2023
176,apple iphone 8 plus gold 5.5 256gb 4g unlocked sim free,5,Mobile Phones,HB-4741-XP,202.0,1.7,7/17/2024
177,apple iphone 8 plus gold 5.5 256gb 4g unlocked sim free,6,Mobile Phones,AN-2146-GK,3255.0,3.8,7/5/2023
178,apple iphone 8 plus 256 gb space grey,7,Mobile Phone,RC-9055-ZO,4218.0,2.5,12/4/2022
179,apple iphone 8 plus 256gb space grey,9,Mobile Phones,KM-6920-UI,4496.0,4.7,5/21/2024
180,apple iphone 8 plus 256gb silver,8,Mobile Phones,TQ-7730-OV,766.0,1.6,10/3/2023
181,apple iphone 8 plus 256gb gold,10,Mobile Phones,EU-4668-BU,4389.0,2.4,4/18/2023
182,apple iphone 8 plus 5.5 single sim 4g 256gb grey,11,Mobile Phones,LH-0109-NZ,2327.0,1.5,5/31/2022
183,apple telekom iphone 8 plus 256gb spacegrau unlocked,3,Mobile Phones,OG-7137-WI,2931.0,4.7,9/20/2022
184,apple iphone 8 plus 5.5 single sim 4g 256gb grey,14,Mobile Phones,,197.0,4.5,5/24/2022
185,apple iphone 8 plus 256gb schwarz smartphone,13,Mobile Phones,MY-5870-PV,1930.0,2.0,12/12/2022
186,apple iphone iphone 8 plus 14 cm 5.5 256 gb 12 mp ios 11 sil,18,Mobile Phones,OI-0636-LR,3582.0,3.6,9/16/2023
187,iphone 8 plus 256gb gold,20,Mobile Phones,JB-8392-ZY,608.0,4.3,10/13/2024
188,sim free iphone 8 plus 256gb mobile phone space grey,22,Mobile Phones,BQ-3869-DP,3272.0,3.2,5/30/2024
189,iphone 8 plus 256gb silver mq8q2b/a wc01,26,Mobile Phones,UA-0733-OP,1147.0,3.1,1/2/2022
190,apple mq8q2b/a 5.5 iphone 8 plus 256gb silver in stock uk spec stock,23,Mobile Phones,RY-3755-KQ,4282.0,2.0,6/15/2024
191,apple iphone 8 256gb gold,1,Mobile Phones,GC-7435-GG,3397.0,1.4,9/11/2022
192,apple iphone 8 4.7 inch 256gb 12mp mobile phone silver,3,Mobile Phones,LZ-2941-WL,2511.0,4.6,3/29/2023
193,apple iphone 8 256gb gold smartphone,13,Mobile Phones,XL-0683-JB,1794.0,4.6,11/26/2024
194,apple iphone 8 256 gb blush gold,2,Mobile Phones,OX-8796-UN,659.0,3.5,10/11/2024
195,apple iphone 8 256gb silver,4,Mobile Phones,DF-1705-JU,2811.0,2.4,1/9/2022
196,apple iphone 8 smartphone 256gb 4.7 zoll spacegrau,28,Mobile Phones,OP-0397-NT,1369.0,2.4,3/26/2024
197,apple iphone 8 gold 4.7 256gb 4g unlocked sim free,5,Mobile Phones,VB-9646-IW,1986.0,3.9,7/27/2022
198,apple iphone 8 gold 4.7 256gb 4g unlocked sim free,6,Mobile Phones,UQ-1949-BD,146.0,4.6,2/8/2023
199,iphone 8 256gb gold,24,Mobile Phones,DE-3739-XV,3219.0,4.5,6/1/2022
200,apple iphone 8 256 gb gold,7,Mobile Phones,GQ-5135-NE,2911.0,4.1,2/23/2022
201,apple iphone 8 256gb space grey,9,Mobile Phones,YE-6768-OV,1734.0,3.6,9/20/2023
202,apple iphone 8 256 gb gold,8,Mobile Phones,AB-6567-KQ,1843.0,1.3,8/10/2023
203,apple iphone 8 256gb space grey,10,Mobile Phones,MQ-2948-RH,488.0,1.6,4/14/2022
204,apple iphone 8 4.7 single sim 4g 256gb silver,11,Mobile Phone,BB-4426-IS,2976.0,4.6,9/11/2022
205,apple iphone 8 4.7 single sim 4g 256gb gold,14,Mobile Phones,TW-9135-IM,1959.0,3.4,5/25/2023
206,apple iphone 8 11.9 cm 4.7 256 gb 12 mp ios 11 grey,18,Mobile Phone,GG-0236-GW,2385.0,1.0,4/9/2022
207,iphone 8 256gb silver,20,Mobile Phones,EI-5374-NM,2919.0,1.4,6/2/2022
208,sim free iphone 8 256gb mobile phone space grey,22,Mobile Phones,IA-9592-JB,4736.0,,7/2/2024
209,iphone 8 256gb gold mq7e2b/a wc01,26,Mobile Phones,MW-6458-LW,1802.0,1.0,5/27/2024
210,apple mq7e2b/a 4.7 iphone 8 256gb gold in stock uk spec stock,23,Mobile Phones,ST-3451-OB,4061.0,1.6,12/4/2022
211,samsung galaxy s7 sm g930f 32gb unlocked smartphone black,3,Mobile Phones,NT-2961-ZK,3369.0,3.2,4/1/2024
212,samsung galaxy s7 sm g930f 32gb white pearl,2,Mobile Phones,UI-9715-NB,262.0,3.8,8/14/2024
213,exdisplay samsung s7 flat black,4,Mobile Phones,DI-4465-IP,623.0,3.6,6/10/2022
214,samsung galaxy s7 32gb gold platinum,24,Mobile Phones,EZ-7238-NS,1016.0,1.9,3/11/2024
215,samsung galaxy s7 flat black onyx 5.1 32gb 4g unlocked sim free,5,Mobile Phones,HV-3695-US,3643.0,3.8,2/2/2023
216,samsung galaxy s7 flat black onyx 5.1 32gb 4g unlocked sim free,6,Mobile Phones,RA-4977-PS,4976.0,1.9,3/26/2024
217,samsung galaxy s7 flat black onyx 5.1 32gb 4g unlocked sim free,15,Mobile Phones,PE-6681-RA,2049.0,2.3,2/5/2023
218,samsung galaxy s7 sm g930f 32gb 4g white smartphones single sim android nanosim gsm hspa lte,17,Mobile Phones,YC-0316-KU,3723.0,4.0,10/2/2023
219,samsung galaxy s7 sm g930f 5.1 single sim 4g 4gb 32gb 3000mah black,11,Mobile Phones,XW-7012-IR,4548.0,3.6,11/22/2024
220,samsung galaxy s7 sm g930f 5.1 single sim 4g 4gb 32gb 3000mah black,14,Mobile Phones,NI-1933-US,3108.0,4.4,11/19/2023
221,samsung sm g930fzwabtu galaxy s7 32gb smartphone in white,32,Mobile Phones,QS-6125-FZ,4090.0,3.6,4/5/2023
222,samsung galaxy s7 32gb gold,8,Mobile Phones,HH-2733-YU,2056.0,3.3,8/12/2024
223,samsung galaxy s7,21,Mobile Phones,HD-6398-YU,3170.0,1.4,4/15/2023
224,samsung galaxy s7 32gb premium pre owned mobile phone black,22,Mobile Phones,HH-7342-MF,1682.0,2.5,11/11/2024
225,samsung galaxy s7 flat 32gb black sm g930fzkabtu wc01,26,Mobile Phones,OY-6165-GR,2255.0,2.1,1/20/2024
226,apple iphone 7 plus 128 gb diamant schwarz,2,Mobile Phones,NQ-0471-UA,1154.0,2.0,2/7/2022
227,apple iphone 7 plus 128gb rose gold,1,Mobile Phones,OY-4984-FZ,4499.0,4.9,8/18/2022
228,apple iphone 7 plus 128gb silver,4,Mobile Phones,IQ-9055-SY,3191.0,2.6,7/17/2023
